name,citations
aDNA,0
Anvio,678
BV-BRC,783
DATMA,4
EasyMetagenome,14
EasyNanoMeta,0
Eukafinder,1
Galaxy,1168
GEN-ERA,7
HiFi-MAG-Pipeline,8
IDseq,347
KBase,63
MAGNETO,13
metaGEM,99
MetaGenePipe,1
Metagenome-Atlas,159
Metagenomics-Toolkit,0
Metaphor,13
metagWGS,2
MetaWRAP,1917
MGnify,286
MOSHPIT,1
MUFFIN,34
NanoPhase,73
nf-core/mag,57
Bacannot,2
SnakeMAGs,6
SqueezeMeta,400
Sunbeam,184
VEBA2,5
VEBA1,18
BugBuster,0
MG-TK,99
MAGO,21
IMG/M,268
WGSA2+/LoRA,141
JAMS,7
SPIRE,41
EURYALE,0
MEDUSA,7
nIMP3,150
Mapler,0
